ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10003589,HY193159,3/21/2015 0:01,021XX W 50TH ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,931,9,16,61,5,1162945,1871493,2015,2/10/2018 15:50,41.80302213,-87.67793283,"(41.803022128, -87.677932833)"
10003590,HY193155,3/21/2015 11:00,064XX S YALE AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,FALSE,TRUE,722,7,20,68,26,1175612,1862287,2015,2/10/2018 15:50,41.77748548,-87.63175278,"(41.777485476, -87.631752783)"
10003591,HY193219,3/21/2015 9:50,021XX N FREMONT ST,820,THEFT,$500 AND UNDER,TAXICAB,FALSE,FALSE,1812,18,43,7,6,1169944,1914327,2015,2/10/2018 15:50,41.92041274,-87.65101581,"(41.920412735, -87.651015808)"
10003593,HY193234,3/20/2015 6:00,035XX S RHODES AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,212,2,4,35,7,1180162,1881716,2015,2/10/2018 15:50,41.83069725,-87.61447689,"(41.830697249, -87.614476891)"
10003595,HY193201,3/21/2015 14:10,007XX W 123RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,523,5,34,53,18,1173669,1823305,2015,2/10/2018 15:50,41.67055673,-87.64002675,"(41.670556728, -87.640026745)"
10003596,HY193229,3/20/2015 22:00,029XX S DR MARTIN LUTHER KING JR DR,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,FALSE,FALSE,133,1,4,35,26,1179389,1885691,2015,2/10/2018 15:50,41.84162265,-87.61719144,"(41.841622651, -87.617191438)"
10003597,HY193205,3/20/2015 14:30,096XX S YALE AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,511,5,21,49,3,1176312,1841114,2015,2/10/2018 15:50,41.71936849,-87.62982124,"(41.719368492, -87.629821235)"
10003598,HY193206,3/21/2015 14:20,023XX S WASHTENAW AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,TRUE,FALSE,1034,10,12,30,26,1158727,1888539,2015,2/10/2018 15:50,41.84988561,-87.69293627,"(41.849885613, -87.692936274)"
10003599,HY193151,3/21/2015 13:00,041XX N MOZART ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1724,17,33,16,6,1156642,1927299,2015,2/10/2018 15:50,41.95628883,-87.69953755,"(41.956288832, -87.699537553)"
10003602,HY193170,3/21/2015 4:00,030XX W BERTEAU AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1724,17,33,16,6,1155158,1927756,2015,2/10/2018 15:50,41.95757286,-87.70498081,"(41.957572856, -87.704980813)"
10003604,HY193149,3/19/2015 17:00,054XX W WALTON ST,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1524,15,37,25,5,1139753,1905799,2015,2/10/2018 15:50,41.89761651,-87.762153,"(41.89761651, -87.762152999)"
10003605,HY193256,3/21/2015 14:30,074XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,323,3,6,69,14,1178445,1855814,2015,2/10/2018 15:50,41.75965898,-87.62156345,"(41.759658977, -87.621563446)"
10003606,HY193245,3/9/2015 15:38,040XX N CAMPBELL AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1911,19,47,5,11,1158988,1926708,2015,2/10/2018 15:50,41.95461916,-87.69092934,"(41.954619159, -87.690929338)"
